x,Img (Cartesian Increment)_mean,Img (Cartesian Increment)_stderr,Img (Velocity)_mean,Img (Velocity)_stderr,Img (Position Increment)_mean,Img (Position Increment)_stderr,Img (Torque)_mean,Img (Torque)_stderr
4752435.199999999,0.06150767819157668,0.0027296090969421045,5.274261638987809e-06,5.274261638987809e-06,0.05536615685559809,0.00857233891389482,0.043997891868154206,0.006065049836315342
4902656.0,0.06298565946053714,0.002424465581088504,0.0,0.0,0.054968082113191485,0.008875399606827946,0.03729355157840819,0.00989043951983633
5052876.799999999,0.059459117241203785,0.001087514132458467,0.0,0.0,0.050406284630298615,0.0063701930335139465,0.03399035658332564,0.008771719319072635
5203097.6,0.06539683775710207,0.0021307742264373404,0.0,0.0,0.046936963219195604,0.0049873364093554395,0.03395042292928944,0.0069902118512942014
5353318.4,0.06587263161782175,0.001109668989363179,0.0,0.0,0.04691196535713971,0.003087686170757752,0.034984931083662164,0.007442434738293422
5503539.199999999,0.06560640090278216,0.0019635532662751146,1.8083182762243917e-05,1.808318276224392e-05,0.0439172190381214,0.003908614241824754,0.03534659583653723,0.0051940865565379725
5653760.0,0.06582882388361863,0.0015242145349025386,5.274261638987809e-06,5.274261638987809e-06,0.04450167459435761,0.0029366511859129285,0.03234177338890731,0.002461498427315687
5803980.799999999,0.06944590120110661,0.003942770176394654,2.4110910349658555e-05,2.4110910349658555e-05,0.0416001578560099,0.0027110353449794062,0.03380349695327736,0.0021735038025098878
5954201.6,0.06889182182827165,0.002875215939235939,0.0,0.0,0.04323141113854945,0.0009976605602027495,0.039324895079646795,0.002854191241385064
6104422.4,0.06659096971686397,0.0027619989577837485,0.0,0.0,0.040935593424364924,0.00042820411147109186,0.0466930391266942,0.0010515900308034688
6254643.199999999,0.06269556900952011,0.0020492795822812946,0.0,0.0,0.0389640792272985,0.0005197776420311103,0.050964437425136566,0.008685929701190358
6404864.0,0.06125281046011618,0.001012213805106255,0.0,0.0,0.03770104283466935,0.001310772489159541,0.03779385345322745,0.007640360436123171
6555084.799999999,0.06195484341255256,0.002003712530906942,3.6919831472914666e-05,3.6919831472914666e-05,0.03825565695296973,0.0025266264099711774,0.03575949432949225,0.0015936560084433087
6705305.6,0.06556500005535781,0.001796355002995417,6.027727587414639e-06,6.027727587414639e-06,0.039270557230338454,0.0033706328179056383,0.03562387114479428,0.0023892625156358496
6855526.399999999,0.0643620067941291,0.0005605709428897298,6.027727587414639e-06,6.027727587414639e-06,0.03877345961518586,0.0021833238063566594,0.030952381679699534,0.0004961444693446692
7005747.199999999,0.06270499168229954,0.0013303258327022126,2.1097046555951238e-05,1.3954384646249673e-05,0.042335461592301726,0.001473914695990089,0.027995781662563484,0.004223037212983555
7155968.0,0.06623971811495721,0.0016530578006511206,1.8083182762243917e-05,1.808318276224392e-05,0.038686534273438156,0.0014308309835125352,0.03226642621060213,0.006172489897926978
7306188.799999999,0.0667428666991847,0.0010708154290808927,1.8083182762243917e-05,1.808318276224392e-05,0.03644020855426788,0.001456322451548829,0.03279686612742288,0.0059543693497990935
7456409.6,0.0660795188908066,0.0033478903262799237,6.027727587414639e-06,6.027727587414639e-06,0.037749710492789745,0.0013574941961482629,0.03542495572141239,0.0026406401354928783
7606630.399999999,0.06428211077582091,0.0022537486693708316,0.00029166667324413237,0.00011599509313476192,0.038447952130809426,0.0015009355961607717,0.04250817629508674,0.0015725388625490915
7756851.199999999,0.06774448377213307,0.0016337212236312469,0.0,0.0,0.036679138080216944,0.001953828242369154,0.04825798812366667,0.002819011336745792
7907072.0,0.06588139624467917,0.0012594476692207126,0.0,0.0,0.03568297636229545,0.0013475064339287211,0.05317058662573496,0.003148280957854023
8057292.799999999,0.06735876190941781,0.001761618898339301,0.0,0.0,0.03704312979243696,0.0028222329034363175,0.0532436726304392,0.007262543772790814
8207513.6,0.06686919874378612,0.0017387835607520206,0.0,0.0,0.03847082413267344,0.0029427842120345158,0.050753468026717506,0.011371003474318154
8357734.3999999985,0.0668333304513778,0.0021109409572803413,2.4110910349658555e-05,2.4110910349658555e-05,0.03779225458856672,0.0030796561847891354,0.044074745227893196,0.005981684659077881
