x,Img+Prioception (Cartesian Increment)_mean,Img+Prioception (Cartesian Increment)_stderr,Img+Prioception (Velocity Increment)_mean,Img+Prioception (Velocity Increment)_stderr,Img+Prioception (Position Increment)_mean,Img+Prioception (Position Increment)_stderr,Img+Prioception (Torque Increment)_mean,Img+Prioception (Torque Increment)_stderr
3027450.016694491,0.9909488752153696,0.00078933661808231,0.0,0.0,0.7436504063437996,0.23839184601224728,0.022657264824870075,0.006611372471515677
3110976.961602671,0.9898013531570685,0.00042589497799686704,0.0,0.0,0.7680165069123942,0.21363672104801895,0.024599268511037557,0.006968732859955446
3194503.9065108513,0.9887030468945328,0.0017667835701015847,0.0,0.0,0.7906812928437624,0.1920040387459253,0.028220252174563854,0.004525181573551978
3278030.8514190316,0.9885302975447393,0.001279435973880274,0.0,0.0,0.8209857868909315,0.16047116560180513,0.029152501675682674,0.00428846039231632
3361557.796327212,0.987747755667085,0.001446130848316,0.0,0.0,0.8471261962761879,0.1332399663522529,0.030479575809834902,0.0031532443077914836
3445084.7412353926,0.9845814423172424,0.0015996308964727423,0.0,0.0,0.879538574073917,0.10357301160211115,0.02828723275835412,0.00391187383044148
3528611.686143573,0.986129400252438,0.0015492626732884088,0.0,0.0,0.9014083972983435,0.08254585713502735,0.02863967009886122,0.007103054524207299
3612138.631051753,0.9886001173402916,0.0005144793038427498,0.0,0.0,0.9236133430232879,0.060729471907705425,0.03484883811156517,0.006613970962037367
3695665.5759599335,0.9893003016232935,0.0025244907348338326,0.0,0.0,0.9404053148667999,0.04372535193279517,0.030441923953065442,0.004229774143256775
3779192.5208681137,0.9903266792654265,0.002251171167499455,0.0,0.0,0.9476640240189163,0.034492627244563485,0.029003344643115814,0.005088100447194661
3862719.465776294,0.9899210872043135,0.0026532681567654447,0.0,0.0,0.9570565242035359,0.0258984833555569,0.030994602722625886,0.005083905540282866
3946246.4106844743,0.990547315106095,0.001780754065764064,0.0,0.0,0.9620454109617844,0.020193576935226103,0.034354280680772335,0.008429283752332909
4029773.3555926546,0.9923702513095775,0.0016561870263830756,0.0,0.0,0.9673723317807731,0.015038269016803035,0.039835445678891086,0.009607583308330322
4113300.300500835,0.9906119916181085,0.0012166014229442598,0.0,0.0,0.9692824695125744,0.015029883984147636,0.0408411430775077,0.00869571936920933
4196827.245409016,0.9900980661132444,0.0005539409007719163,0.0,0.0,0.9742999329638199,0.012702839199214904,0.03925693049627897,0.008521052438379707
4280354.190317196,0.989750002575056,0.000513581564671191,0.0,0.0,0.9794627860846274,0.01012729614756608,0.04037977566986629,0.008381965867131927
4363881.135225376,0.9870348151840371,0.0013802759471561107,0.0,0.0,0.9795606507072612,0.00824099998214247,0.04095049853991538,0.011588848139892123
4447408.080133556,0.9873993063339063,0.0004690899220905559,0.0,0.0,0.9803412320884181,0.005068442619697743,0.04147895275186519,0.014585485983207792
4530935.025041737,0.9874525368181156,0.0006964884355875093,0.0,0.0,0.9809611133099104,0.007034056834052447,0.04285917181816041,0.013503882894807518
4614461.969949917,0.9892311421316978,0.0006405346712211069,0.0,0.0,0.9820481782862349,0.00791487857987101,0.03928257862367128,0.010332886849167623
4697988.914858097,0.9892352551988713,0.0008642661614373764,0.0,0.0,0.9833730818594284,0.006109854258876159,0.03474754719217539,0.009579559657416846
4781515.8597662775,0.9892298838351857,0.002068389395625602,0.0,0.0,0.9843975369532268,0.004988488274925744,0.03424577370805689,0.010820203993057846
4865042.804674458,0.9903724206072725,0.0017868471908733543,0.0,0.0,0.9853182382794688,0.0054547798369985485,0.03438312707705884,0.012019862546282768
4948569.749582638,0.9906102413296972,0.0014320812981129026,0.0,0.0,0.9861108430354749,0.002703342997983659,0.03088335675235568,0.010893883538578668
5032096.694490818,0.9908260116787302,0.0008865543160541913,0.0,0.0,0.9861114289025258,0.000521510920453117,0.028271328949925473,0.006859961092756727
5115623.639398999,0.9921569588779638,0.001180601569732549,0.0,0.0,0.9865017187699735,0.0007528287759766812,0.024999183838342976,0.0024277185931758202
5199150.584307179,0.9917022630434266,0.0017470286180368711,0.0,0.0,0.9866679439282716,0.0011270117257079146,0.029906411880131618,0.004695028500822471
5282677.529215359,0.991861623813454,0.0017143461525876565,0.0,0.0,0.986742886503901,0.0010365841365951453,0.031158314494923244,0.004469139936787402
5366204.474123539,0.9907544456421541,0.002659574424160322,0.0,0.0,0.9874963355726664,0.00047341970573597974,0.029224184286535195,0.004318059934020609
5449731.41903172,0.9895700299139593,0.0019441884366318458,0.0,0.0,0.9838974230342904,0.0014920424713040599,0.028645943945089233,0.00303070838037238
5533258.3639399,0.990144717982346,0.0022219600605141443,0.0,0.0,0.9874311339383421,0.0010557663998910808,0.026484341289231012,0.0025741323910136735
5616785.30884808,0.9900084959306117,0.0024942925217659017,0.0,0.0,0.9875209867578514,0.001482787167124181,0.026551778099141804,0.002932634288879889
5700312.2537562605,0.9897334106662319,0.003151192935986677,0.0,0.0,0.9862402489574649,0.0008782034100354307,0.02692346181213891,0.005199484440291453
5783839.198664441,0.9888663885890998,0.0033824923764036743,0.0,0.0,0.9857158416895757,0.0016218387272524664,0.031204612814612415,0.005345265064010793
5867366.143572621,0.9894873378300238,0.0026788575147453485,0.0,0.0,0.9847665900255778,0.0013077081859986508,0.030228444176512787,0.005012777483641877
5950893.088480801,0.9889386493311032,0.0021180614601815223,0.0,0.0,0.9841478853563181,0.0001838309662202087,0.0295546747301314,0.004503405309567844
6034420.033388982,0.988487768895876,0.001729915104636318,0.0,0.0,0.9850116107702421,0.0008523866204261038,0.026027492541873743,0.005146093917634007
6117946.978297162,0.9883954446923329,0.0019147786337922437,0.0,0.0,0.9847061396703302,0.0005953671954397536,0.030802455810395295,0.007337100783914388
6201473.923205342,0.9907063316482527,0.0018675754554256904,0.0,0.0,0.9861208948984647,0.002074849769955059,0.027895890577217707,0.004131179973710503
6285000.868113522,0.990294075932487,0.0009536311346915099,0.0,0.0,0.9869514644097869,0.00180704892530228,0.028114090177413165,0.0033879599619998997
6368527.813021703,0.9909468409023922,0.0008412454836504037,0.0,0.0,0.9862691438340399,0.002690361382512668,0.030206549353699198,0.0034123242184477993
6452054.757929883,0.9915194718411827,0.0006224028872822136,0.0,0.0,0.9859140108531652,0.002571911267689852,0.032364543521087315,0.004753593047098863
6535581.702838063,0.9907059059786675,0.0008906025364765243,0.0,0.0,0.9870523552645661,0.002317247670437649,0.03418743884455279,0.007397762397024534
6619108.6477462435,0.9910971665957019,0.0010508461831832178,0.0,0.0,0.9872812397478631,0.003111286164696292,0.037303823559917876,0.006144909911520678
6702635.592654424,0.9895784481285989,0.0006313983490413911,0.0,0.0,0.9881911348659562,0.004129245825002963,0.03921019467770498,0.004459286844357882
